input_file,n_points,n_dims,k,use_reduction,repetition,final_shift,n_iter,t_classify,t_update,t_tot,block_dim_classify,block_dim_update,grid_classify,grid_classify_optimal,grid_update,grid_update_optimal
../gen_datasets/gen_N100000_D100_K5.txt,100000,100,3,1,1,0.000000,100,0.004797,0.010484,0.015289,512,512,198,284,198,284
../gen_datasets/gen_N100000_D100_K5.txt,100000,100,3,1,2,0.000000,100,0.004812,0.010479,0.015298,512,512,198,284,198,284
../gen_datasets/gen_N100000_D100_K5.txt,100000,100,3,1,3,0.000000,100,0.004768,0.010573,0.015349,512,512,198,284,198,284
../gen_datasets/gen_N100000_D100_K5.txt,100000,100,3,1,4,0.000000,100,0.004724,0.010403,0.015135,512,512,198,284,198,284
../gen_datasets/gen_N100000_D100_K5.txt,100000,100,3,1,5,0.000000,100,0.004761,0.010464,0.015234,512,512,198,284,198,284
