input_file,n_points,n_dims,k,use_reduction,repetition,final_shift,n_iter,t_classify,t_update,t_tot,block_dim_classify,block_dim_update,grid_classify,grid_classify_optimal,grid_update,grid_update_optimal
../gen_datasets/gen_N150000_D20_K5.txt,150000,20,3,1,1,0.000000,100,0.002609,0.004605,0.007222,512,512,293,284,293,284
../gen_datasets/gen_N150000_D20_K5.txt,150000,20,3,1,2,0.000000,100,0.002763,0.004595,0.007365,512,512,293,284,293,284
../gen_datasets/gen_N150000_D20_K5.txt,150000,20,3,1,3,0.000000,100,0.002588,0.004608,0.007204,512,512,293,284,293,284
../gen_datasets/gen_N150000_D20_K5.txt,150000,20,3,1,4,0.000000,100,0.002663,0.004783,0.007454,512,512,293,284,293,284
../gen_datasets/gen_N150000_D20_K5.txt,150000,20,3,1,5,0.000000,100,0.002637,0.004821,0.007466,512,512,293,284,293,284
