input_file,n_points,n_dims,k,use_reduction,repetition,final_shift,n_iter,t_classify,t_update,t_tot,block_dim_classify,block_dim_update,grid_classify,grid_classify_optimal,grid_update,grid_update_optimal
../gen_datasets/gen_N400000_D20_K5.txt,400000,20,5,1,1,0.000000,100,0.005539,0.010135,0.015681,512,512,782,284,782,284
../gen_datasets/gen_N400000_D20_K5.txt,400000,20,5,1,2,0.000000,100,0.005308,0.010139,0.015454,512,512,782,284,782,284
../gen_datasets/gen_N400000_D20_K5.txt,400000,20,5,1,3,0.000000,100,0.005393,0.010299,0.015699,512,512,782,284,782,284
../gen_datasets/gen_N400000_D20_K5.txt,400000,20,5,1,4,0.000000,100,0.005308,0.010134,0.015451,512,512,782,284,782,284
../gen_datasets/gen_N400000_D20_K5.txt,400000,20,5,1,5,0.000000,100,0.005366,0.010154,0.015528,512,512,782,284,782,284
