input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N350000_D20_K5.txt,350000,20,3,6,1,0.000000,100,0.138,0.026,0.164
../gen_datasets/gen_N350000_D20_K5.txt,350000,20,3,6,2,0.000000,100,0.156,0.033,0.189
../gen_datasets/gen_N350000_D20_K5.txt,350000,20,3,6,3,0.000000,100,0.157,0.033,0.190
../gen_datasets/gen_N350000_D20_K5.txt,350000,20,3,6,4,0.000000,100,0.153,0.034,0.187
../gen_datasets/gen_N350000_D20_K5.txt,350000,20,3,6,5,0.000000,100,0.166,0.032,0.198
