input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N250000_D60_K5.txt,250000,60,5,3,1,0.000000,100,1.336,0.119,1.455
../gen_datasets/gen_N250000_D60_K5.txt,250000,60,5,3,2,0.000000,100,1.341,0.084,1.426
../gen_datasets/gen_N250000_D60_K5.txt,250000,60,5,3,3,0.000000,100,1.339,0.094,1.432
../gen_datasets/gen_N250000_D60_K5.txt,250000,60,5,3,4,0.000000,100,1.341,0.082,1.423
../gen_datasets/gen_N250000_D60_K5.txt,250000,60,5,3,5,0.000000,100,1.324,0.078,1.402
