input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N150000_D60_K5.txt,150000,60,3,4,1,0.000000,100,0.360,0.040,0.400
../gen_datasets/gen_N150000_D60_K5.txt,150000,60,3,4,2,0.000000,100,0.359,0.032,0.390
../gen_datasets/gen_N150000_D60_K5.txt,150000,60,3,4,3,0.000000,100,0.363,0.031,0.395
../gen_datasets/gen_N150000_D60_K5.txt,150000,60,3,4,4,0.000000,100,0.371,0.033,0.403
../gen_datasets/gen_N150000_D60_K5.txt,150000,60,3,4,5,0.000000,100,0.358,0.029,0.387
