input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N200000_D60_K5.txt,200000,60,5,8,1,0.000000,100,0.397,0.031,0.428
../gen_datasets/gen_N200000_D60_K5.txt,200000,60,5,8,2,0.000000,100,0.397,0.039,0.436
../gen_datasets/gen_N200000_D60_K5.txt,200000,60,5,8,3,0.000000,100,0.396,0.031,0.427
../gen_datasets/gen_N200000_D60_K5.txt,200000,60,5,8,4,0.000000,100,0.396,0.029,0.424
../gen_datasets/gen_N200000_D60_K5.txt,200000,60,5,8,5,0.000000,100,0.396,0.021,0.418
