input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N50000_D20_K5.txt,50000,20,5,2,1,0.000000,100,0.096,0.009,0.105
../gen_datasets/gen_N50000_D20_K5.txt,50000,20,5,2,2,0.000000,100,0.095,0.009,0.104
../gen_datasets/gen_N50000_D20_K5.txt,50000,20,5,2,3,0.000000,100,0.097,0.009,0.106
../gen_datasets/gen_N50000_D20_K5.txt,50000,20,5,2,4,0.000000,100,0.097,0.009,0.106
../gen_datasets/gen_N50000_D20_K5.txt,50000,20,5,2,5,0.000000,100,0.095,0.009,0.104
