input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N400000_D60_K5.txt,400000,60,3,4,1,0.000000,100,0.962,0.098,1.060
../gen_datasets/gen_N400000_D60_K5.txt,400000,60,3,4,2,0.000000,100,0.967,0.169,1.137
../gen_datasets/gen_N400000_D60_K5.txt,400000,60,3,4,3,0.000000,100,0.972,0.159,1.130
../gen_datasets/gen_N400000_D60_K5.txt,400000,60,3,4,4,0.000000,100,0.981,0.142,1.123
../gen_datasets/gen_N400000_D60_K5.txt,400000,60,3,4,5,0.000000,100,0.964,0.123,1.086
