input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N150000_D100_K5.txt,150000,100,3,3,1,0.000000,100,0.793,0.082,0.874
../gen_datasets/gen_N150000_D100_K5.txt,150000,100,3,3,2,0.000000,100,0.793,0.082,0.875
../gen_datasets/gen_N150000_D100_K5.txt,150000,100,3,3,3,0.000000,100,0.791,0.092,0.883
../gen_datasets/gen_N150000_D100_K5.txt,150000,100,3,3,4,0.000000,100,0.806,0.080,0.886
../gen_datasets/gen_N150000_D100_K5.txt,150000,100,3,3,5,0.000000,100,0.789,0.075,0.864
