input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N300000_D20_K5.txt,300000,20,10,4,1,0.051209,100,0.570,0.026,0.596
../gen_datasets/gen_N300000_D20_K5.txt,300000,20,10,4,2,0.051209,100,0.572,0.028,0.600
../gen_datasets/gen_N300000_D20_K5.txt,300000,20,10,4,3,0.051209,100,0.570,0.026,0.596
../gen_datasets/gen_N300000_D20_K5.txt,300000,20,10,4,4,0.051209,100,0.571,0.026,0.597
../gen_datasets/gen_N300000_D20_K5.txt,300000,20,10,4,5,0.051209,100,0.591,0.029,0.620
