input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N50000_D60_K5.txt,50000,60,5,8,1,0.000000,100,0.102,0.008,0.110
../gen_datasets/gen_N50000_D60_K5.txt,50000,60,5,8,2,0.000000,100,0.100,0.008,0.108
../gen_datasets/gen_N50000_D60_K5.txt,50000,60,5,8,3,0.000000,100,0.100,0.011,0.111
../gen_datasets/gen_N50000_D60_K5.txt,50000,60,5,8,4,0.000000,100,0.118,0.012,0.130
../gen_datasets/gen_N50000_D60_K5.txt,50000,60,5,8,5,0.000000,100,0.104,0.009,0.113
