input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N300000_D60_K5.txt,300000,60,3,2,1,0.000000,100,1.434,0.164,1.598
../gen_datasets/gen_N300000_D60_K5.txt,300000,60,3,2,2,0.000000,100,1.434,0.162,1.596
../gen_datasets/gen_N300000_D60_K5.txt,300000,60,3,2,3,0.000000,100,1.430,0.175,1.606
../gen_datasets/gen_N300000_D60_K5.txt,300000,60,3,2,4,0.000000,100,1.433,0.167,1.600
../gen_datasets/gen_N300000_D60_K5.txt,300000,60,3,2,5,0.000000,100,1.433,0.158,1.591
