input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N150000_D20_K5.txt,150000,20,3,4,1,0.000000,100,0.089,0.016,0.105
../gen_datasets/gen_N150000_D20_K5.txt,150000,20,3,4,2,0.000000,100,0.090,0.013,0.103
../gen_datasets/gen_N150000_D20_K5.txt,150000,20,3,4,3,0.000000,100,0.087,0.016,0.103
../gen_datasets/gen_N150000_D20_K5.txt,150000,20,3,4,4,0.000000,100,0.087,0.020,0.108
../gen_datasets/gen_N150000_D20_K5.txt,150000,20,3,4,5,0.000000,100,0.087,0.021,0.108
