input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N250000_D20_K5.txt,250000,20,3,4,1,0.000000,100,1.338,0.267,1.605
../gen_datasets/gen_N250000_D20_K5.txt,250000,20,3,4,2,0.000000,100,1.314,0.259,1.573
../gen_datasets/gen_N250000_D20_K5.txt,250000,20,3,4,3,0.000000,100,1.323,0.263,1.586
../gen_datasets/gen_N250000_D20_K5.txt,250000,20,3,4,4,0.000000,100,1.315,0.266,1.581
../gen_datasets/gen_N250000_D20_K5.txt,250000,20,3,4,5,0.000000,100,1.310,0.260,1.570
