input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N250000_D20_K5.txt,250000,20,5,6,1,0.000000,100,1.502,0.174,1.676
../gen_datasets/gen_N250000_D20_K5.txt,250000,20,5,6,2,0.000000,100,1.509,0.175,1.684
../gen_datasets/gen_N250000_D20_K5.txt,250000,20,5,6,3,0.000000,100,1.509,0.177,1.687
../gen_datasets/gen_N250000_D20_K5.txt,250000,20,5,6,4,0.000000,100,1.507,0.178,1.685
../gen_datasets/gen_N250000_D20_K5.txt,250000,20,5,6,5,0.000000,100,1.503,0.174,1.676
