input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N250000_D20_K5.txt,250000,20,10,5,1,0.000000,100,3.572,0.208,3.781
../gen_datasets/gen_N250000_D20_K5.txt,250000,20,10,5,2,0.000000,100,3.568,0.211,3.780
../gen_datasets/gen_N250000_D20_K5.txt,250000,20,10,5,3,0.000000,100,3.564,0.211,3.775
../gen_datasets/gen_N250000_D20_K5.txt,250000,20,10,5,4,0.000000,100,3.570,0.212,3.782
../gen_datasets/gen_N250000_D20_K5.txt,250000,20,10,5,5,0.000000,100,3.587,0.209,3.796
