input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N100000_D20_K5.txt,100000,20,3,8,1,0.000000,100,0.267,0.056,0.323
../gen_datasets/gen_N100000_D20_K5.txt,100000,20,3,8,2,0.000000,100,0.274,0.058,0.331
../gen_datasets/gen_N100000_D20_K5.txt,100000,20,3,8,3,0.000000,100,0.269,0.056,0.325
../gen_datasets/gen_N100000_D20_K5.txt,100000,20,3,8,4,0.000000,100,0.290,0.063,0.353
../gen_datasets/gen_N100000_D20_K5.txt,100000,20,3,8,5,0.000000,100,0.266,0.055,0.321
