input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N50000_D60_K5.txt,50000,60,10,3,1,0.067631,100,3.553,0.173,3.726
../gen_datasets/gen_N50000_D60_K5.txt,50000,60,10,3,2,0.067631,100,3.550,0.174,3.723
../gen_datasets/gen_N50000_D60_K5.txt,50000,60,10,3,3,0.067631,100,3.554,0.172,3.726
../gen_datasets/gen_N50000_D60_K5.txt,50000,60,10,3,4,0.067631,100,3.547,0.173,3.720
../gen_datasets/gen_N50000_D60_K5.txt,50000,60,10,3,5,0.067631,100,3.551,0.169,3.720
