input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N300000_D20_K5.txt,300000,20,3,8,1,0.000000,100,0.792,0.164,0.956
../gen_datasets/gen_N300000_D20_K5.txt,300000,20,3,8,2,0.000000,100,0.804,0.168,0.972
../gen_datasets/gen_N300000_D20_K5.txt,300000,20,3,8,3,0.000000,100,0.799,0.161,0.960
../gen_datasets/gen_N300000_D20_K5.txt,300000,20,3,8,4,0.000000,100,0.795,0.159,0.955
../gen_datasets/gen_N300000_D20_K5.txt,300000,20,3,8,5,0.000000,100,0.800,0.163,0.963
