input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N400000_D60_K5.txt,400000,60,3,5,1,0.000000,100,4.893,0.814,5.707
../gen_datasets/gen_N400000_D60_K5.txt,400000,60,3,5,2,0.000000,100,4.889,0.815,5.704
../gen_datasets/gen_N400000_D60_K5.txt,400000,60,3,5,3,0.000000,100,4.892,0.819,5.712
../gen_datasets/gen_N400000_D60_K5.txt,400000,60,3,5,4,0.000000,100,4.887,0.809,5.696
../gen_datasets/gen_N400000_D60_K5.txt,400000,60,3,5,5,0.000000,100,4.908,0.808,5.717
