input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N200000_D100_K5.txt,200000,100,3,4,1,0.005659,100,5.181,0.825,6.007
../gen_datasets/gen_N200000_D100_K5.txt,200000,100,3,4,2,0.005874,100,5.183,0.815,5.999
../gen_datasets/gen_N200000_D100_K5.txt,200000,100,3,4,3,0.005872,100,5.168,0.814,5.982
../gen_datasets/gen_N200000_D100_K5.txt,200000,100,3,4,4,0.006469,100,5.161,0.799,5.960
../gen_datasets/gen_N200000_D100_K5.txt,200000,100,3,4,5,0.005659,100,5.155,0.800,5.955
