epoch,train_loss,dev_loss,dev_auc,dev_ap,elapsed_s
1,0.6904150247573853,0.6513810753822327,0.8426662091164183,0.7738875626757606,12.832533541019075
2,0.6444720029830933,0.5905023217201233,0.8683278768737237,0.8044514386088885,23.793079791008495
3,0.5743361115455627,0.5013211965560913,0.879247053611904,0.8179874836608606,34.28151300002355
4,0.47757187485694885,0.397678405046463,0.8887599385862429,0.8383158888525906,43.46664925001096
5,0.3744606375694275,0.3049195110797882,0.8960508451346804,0.8496994367758226,52.957065999973565
6,0.29554566740989685,0.24970339238643646,0.9000193365815006,0.8551504990402565,61.6991261250223
7,0.26246392726898193,0.22954978048801422,0.9020479892049511,0.8578115159724491,71.02286099997582
8,0.26362261176109314,0.21396401524543762,0.9022449097217191,0.8569548987452211,79.48241112497635
9,0.251712828874588,0.2003764659166336,0.9016352951396565,0.8540016597948221,89.23995016602566
10,0.23826947808265686,0.19615869224071503,0.9049439332043273,0.8558961344908399,99.89087412500521
11,0.22721147537231445,0.18992969393730164,0.9070001829531529,0.8600712899739565,108.48125279101077
12,0.20959779620170593,0.18158763647079468,0.9097453804443703,0.8642638061199373,117.29724849999184
13,0.1869402527809143,0.175634503364563,0.9117540599096646,0.8673899956526973,125.63559829100268
14,0.17437294125556946,0.17365437746047974,0.9128667842380236,0.8694225469926651,134.3384865410044
15,0.16563813388347626,0.17386971414089203,0.9137987369136893,0.8707046382647587,142.7930147909792
16,0.15518465638160706,0.1775810420513153,0.9139595083111174,0.8714527777028814,153.3760965410038
17,0.1503763049840927,0.1808798760175705,0.914708528796881,0.8726248591154255,163.86675395799102
18,0.1421593427658081,0.18455854058265686,0.9153848110465658,0.8735884785148795,172.74699925002642
19,0.140746608376503,0.18710140883922577,0.91468505242991,0.8738089781554953,182.08183991600526
20,0.13933293521404266,0.1880112886428833,0.9139621732541184,0.8753369431600161,190.5657172499923
21,0.13651126623153687,0.18619674444198608,0.9144250200728125,0.8771172536609115,199.59376145800343
22,0.13625507056713104,0.1852046400308609,0.9144203126887269,0.8766063888447614,209.9918735829997
23,0.13273674249649048,0.18052716553211212,0.9151788235782061,0.8772736045684807,221.71890637499746
24,0.1318037211894989,0.1782938539981842,0.916901143354636,0.8794126358873895,233.03196841600584
25,0.12994219362735748,0.17403052747249603,0.9182049134452029,0.8796932539753872,244.27926129102707
26,0.12704426050186157,0.17120303213596344,0.9192712511243987,0.8806840196296968,255.25864129100228
27,0.1273776739835739,0.16806146502494812,0.9201513491624983,0.8819411166436337,266.3343931250274
28,0.12440437078475952,0.16718554496765137,0.9197826279088716,0.8809193973309186,279.425769665977
29,0.12410148978233337,0.16459228098392487,0.9205742087237645,0.8815768042815503,290.72814041597303
30,0.12264192849397659,0.16406571865081787,0.9203695315117781,0.8804461381394092,302.21241308300523
31,0.12232362478971481,0.16214443743228912,0.9209632579022682,0.8804416819875859,313.4719483330264
