epoch,train_loss,dev_loss,dev_auc,dev_ap,elapsed_s
1,0.6889094710350037,0.5583869218826294,0.7460535476478374,0.7139226011590556,28.523483041964937
2,0.7690889835357666,0.525914192199707,0.7417092272040188,0.7195777460209007,42.87870025000302
3,0.6160892844200134,0.5339668989181519,0.762914871707729,0.7396279891821103,55.002224750001915
4,0.5619479417800903,0.5264201760292053,0.7614473083152307,0.7300183882965198,67.69223862496438
5,0.5326987504959106,0.49447494745254517,0.7854187958030243,0.7567144745635195,79.57960970897693
6,0.49443334341049194,0.47223910689353943,0.8014592215516687,0.7744012139595997,90.63155570899835
7,0.4798952639102936,0.43180975317955017,0.7986484395456014,0.769332178071676,104.98049499996705
8,0.4395623505115509,0.39745086431503296,0.8054273680520081,0.7762681302222068,117.70800629199948
9,0.4049644470214844,0.35949960350990295,0.8319193970050938,0.8096344288559555,130.2245007089805
10,0.37231484055519104,0.34098103642463684,0.8373199185300917,0.811566947044543,144.30859966698335
11,0.35144245624542236,0.32782021164894104,0.8552984868174452,0.8220957383513636,158.56329462496797
12,0.3257826268672943,0.3237899839878082,0.8484226227785666,0.8164767082388561,172.48892483400414
13,0.31919410824775696,0.29757454991340637,0.8600723860895895,0.830030773767105,184.03779974998906
14,0.29179197549819946,0.2845084071159363,0.864129237298118,0.8340251290625135,196.92732508399058
15,0.2793816924095154,0.27618372440338135,0.8647474589125105,0.8346760145845956,208.57498849998228
16,0.2721886932849884,0.267147034406662,0.8743673937600029,0.839056526999058,220.93718608398922
17,0.2541337013244629,0.2609739601612091,0.8764518180305477,0.8395051666274342,232.70501049997984
18,0.24409119784832,0.2519848942756653,0.8740748434650204,0.8389733659630297,245.1085602499661
19,0.23063646256923676,0.2500212788581848,0.8784650354034079,0.8419748951715427,256.9101034999476
20,0.22522202134132385,0.24072115123271942,0.8840582344824657,0.8474926528621768,268.55398724996485
21,0.21431350708007812,0.23312786221504211,0.8801095269361114,0.8447707256206851,280.40465874999063
22,0.20675337314605713,0.2311028391122818,0.8851976683722187,0.8471032610652921,291.28154449997237
23,0.198780357837677,0.22621214389801025,0.8877633174074522,0.849336843302734,303.4745084999595
24,0.1890125274658203,0.22230564057826996,0.8841081140981304,0.8484525960229696,316.7235665000044
25,0.1866360455751419,0.21499721705913544,0.8928284451533962,0.8562310539875019,329.0204262089683
26,0.17725099623203278,0.21304742991924286,0.8959997832352826,0.8593883001176028,343.53592970897444
27,0.17126715183258057,0.2140001803636551,0.8992255008819364,0.8636305021808172,355.8969095419743
28,0.16751232743263245,0.20835267007350922,0.9009229887324822,0.8642305531010471,368.7404214589624
29,0.16001763939857483,0.20456081628799438,0.9022505883528621,0.8656209068277534,381.21919554198394
30,0.15525025129318237,0.2035485804080963,0.9048063774169538,0.8693363810875887,392.2944461249863
31,0.1528010219335556,0.20126910507678986,0.9042856254829285,0.8694276249087269,403.3224600419635
32,0.1506556272506714,0.1997179239988327,0.9059854594422658,0.8706537165444121,415.22231174999615
33,0.14410123229026794,0.19753237068653107,0.9071850663600189,0.8705816344407892,427.7492253339733
34,0.13877253234386444,0.19389519095420837,0.9073317599510304,0.8707599995645937,440.5075517499936
35,0.1364556849002838,0.19286367297172546,0.9070998713042977,0.8707771488965187,451.40357512497576
36,0.13286979496479034,0.1977323442697525,0.9080503903395015,0.8715629739954489,462.90643224999076
37,0.13345171511173248,0.1918315887451172,0.9073183850092965,0.870626289729225,474.9939002500032
38,0.12537069618701935,0.19181808829307556,0.9074972131548992,0.8711101483408683,487.65871758398134
39,0.12645722925662994,0.19475127756595612,0.9097397293324095,0.8731314128445337,501.46224062499823
40,0.1210193857550621,0.19045908749103546,0.9089712878167094,0.8734047129175284,512.3830583340023
41,0.1174054816365242,0.18598400056362152,0.9092031403621018,0.873750620873025,522.5331409589853
42,0.1151299923658371,0.1973087191581726,0.9114680625567029,0.8760115532171794,534.666601749952
43,0.12112336605787277,0.18446430563926697,0.9098023005530529,0.874494917713628,546.4009804999805
44,0.11772187799215317,0.18945889174938202,0.9107311421823234,0.8754408106122575,557.6228695839527
45,0.11950749158859253,0.18873330950737,0.9118981672884243,0.8766932394091553,569.8037201669649
46,0.11173783987760544,0.18913128972053528,0.9117082370098072,0.8765049398717512,581.7581113339984
47,0.10996129363775253,0.18822960555553436,0.9083392138112083,0.8732106218926556,594.1494350839639
48,0.11210007220506668,0.18711614608764648,0.9128989708764663,0.8774448484148224,606.7251628339873
49,0.10748447477817535,0.18278132379055023,0.9117233266104613,0.8766368677070369,618.1203194999835
50,0.10422801971435547,0.1848209798336029,0.9097215733969977,0.8743720123155895,629.2045222499873
