epoch,train_loss,dev_loss,dev_auc,dev_ap,elapsed_s
1,0.7011431455612183,1.0189229249954224,0.7007304313736575,0.7247641855513939,21.85425270802807
2,1.0264966487884521,0.6870651245117188,0.8494772308986422,0.8521417419426999,39.00704295799369
3,0.6882404088973999,0.7300743460655212,0.8923011072712138,0.8871761722553669,53.37054008303676
4,0.7318207025527954,0.768310546875,0.9167043059300419,0.9128952071745112,65.43554358300753
5,0.7708123326301575,0.7194308042526245,0.9391447829462142,0.9362398106982295,76.81309100001818
6,0.7209446430206299,0.6709803938865662,0.944503875580046,0.9418944390575223,94.83673154102871
7,0.6711817979812622,0.6553592085838318,0.9434191280461103,0.9417774631615129,115.53505737503292
8,0.6552268266677856,0.6624700427055359,0.9441439008399228,0.9428737286620469,132.6076516250032
9,0.6626684069633484,0.6712015271186829,0.946436119784364,0.9446833870929677,146.96782308304682
10,0.671509325504303,0.6701177358627319,0.9509582896700983,0.9487034528556754,162.81707824999467
11,0.6703662276268005,0.6591664552688599,0.9538288658511259,0.9512076492633265,175.17887062503723
12,0.6591687202453613,0.6460010409355164,0.9566281845419432,0.9537100747620322,188.43661816604435
13,0.64585280418396,0.637963056564331,0.9581150723095807,0.9549969320962843,200.32373100001132
14,0.637601912021637,0.6374605298042297,0.9584294689805284,0.9551483761673236,213.1574918749975
15,0.6374126672744751,0.638738214969635,0.9580987061340069,0.9546939370508061,226.5989244999946
16,0.6386554837226868,0.6346661448478699,0.9575098079812722,0.9540386493985286,238.5117143749958
17,0.6345623135566711,0.6252986192703247,0.9569524711231026,0.9533545232657461,250.3179325000383
18,0.6249446272850037,0.6173040866851807,0.9553365932372331,0.9518401962607362,269.2441520830034
