input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N400000_D20_K5.txt,400000,20,5,4,1,0.000000,100,0.263,0.038,0.300
../gen_datasets/gen_N400000_D20_K5.txt,400000,20,5,4,2,0.000000,100,0.237,0.035,0.272
../gen_datasets/gen_N400000_D20_K5.txt,400000,20,5,4,3,0.000000,100,0.234,0.034,0.268
../gen_datasets/gen_N400000_D20_K5.txt,400000,20,5,4,4,0.000000,100,0.242,0.035,0.278
../gen_datasets/gen_N400000_D20_K5.txt,400000,20,5,4,5,0.000000,100,0.234,0.034,0.268
