input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N250000_D100_K5.txt,250000,100,10,8,1,31.106838,100,0.752,0.078,0.830
../gen_datasets/gen_N250000_D100_K5.txt,250000,100,10,8,2,31.106855,100,0.707,0.074,0.781
../gen_datasets/gen_N250000_D100_K5.txt,250000,100,10,8,3,31.106825,100,0.732,0.081,0.813
../gen_datasets/gen_N250000_D100_K5.txt,250000,100,10,8,4,31.830086,100,0.689,0.072,0.761
../gen_datasets/gen_N250000_D100_K5.txt,250000,100,10,8,5,31.830238,100,0.709,0.089,0.798
