input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N200000_D60_K5.txt,200000,60,5,8,1,0.000000,100,0.159,0.044,0.203
../gen_datasets/gen_N200000_D60_K5.txt,200000,60,5,8,2,0.000000,100,0.151,0.042,0.193
../gen_datasets/gen_N200000_D60_K5.txt,200000,60,5,8,3,0.000000,100,0.150,0.038,0.188
../gen_datasets/gen_N200000_D60_K5.txt,200000,60,5,8,4,0.000000,100,0.150,0.043,0.193
../gen_datasets/gen_N200000_D60_K5.txt,200000,60,5,8,5,0.000000,100,0.176,0.046,0.223
