input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N250000_D20_K5.txt,250000,20,10,6,1,0.000047,100,0.193,0.018,0.211
../gen_datasets/gen_N250000_D20_K5.txt,250000,20,10,6,2,0.000047,100,0.189,0.018,0.206
../gen_datasets/gen_N250000_D20_K5.txt,250000,20,10,6,3,0.000047,100,0.189,0.018,0.206
../gen_datasets/gen_N250000_D20_K5.txt,250000,20,10,6,4,0.000047,100,0.189,0.018,0.207
../gen_datasets/gen_N250000_D20_K5.txt,250000,20,10,6,5,0.000047,100,0.210,0.029,0.239
