input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N50000_D60_K5.txt,50000,60,3,8,1,0.000000,100,0.037,0.008,0.045
../gen_datasets/gen_N50000_D60_K5.txt,50000,60,3,8,2,0.000000,100,0.037,0.008,0.045
../gen_datasets/gen_N50000_D60_K5.txt,50000,60,3,8,3,0.000000,100,0.026,0.006,0.032
../gen_datasets/gen_N50000_D60_K5.txt,50000,60,3,8,4,0.000000,100,0.025,0.006,0.031
../gen_datasets/gen_N50000_D60_K5.txt,50000,60,3,8,5,0.000000,100,0.038,0.008,0.045
