input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N300000_D60_K5.txt,300000,60,3,7,1,0.000000,100,0.166,0.056,0.221
../gen_datasets/gen_N300000_D60_K5.txt,300000,60,3,7,2,0.000000,100,0.166,0.057,0.223
../gen_datasets/gen_N300000_D60_K5.txt,300000,60,3,7,3,0.000000,100,0.155,0.057,0.211
../gen_datasets/gen_N300000_D60_K5.txt,300000,60,3,7,4,0.000000,100,0.162,0.052,0.215
../gen_datasets/gen_N300000_D60_K5.txt,300000,60,3,7,5,0.000000,100,0.155,0.058,0.214
