input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N100000_D20_K5.txt,100000,20,10,2,1,0.007050,100,0.224,0.016,0.240
../gen_datasets/gen_N100000_D20_K5.txt,100000,20,10,2,2,0.007050,100,0.223,0.016,0.240
../gen_datasets/gen_N100000_D20_K5.txt,100000,20,10,2,3,0.007050,100,0.224,0.017,0.241
../gen_datasets/gen_N100000_D20_K5.txt,100000,20,10,2,4,0.007050,100,0.225,0.017,0.242
../gen_datasets/gen_N100000_D20_K5.txt,100000,20,10,2,5,0.007050,100,0.223,0.017,0.240
