input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N200000_D60_K5.txt,200000,60,10,7,1,15.695609,100,0.333,0.025,0.358
../gen_datasets/gen_N200000_D60_K5.txt,200000,60,10,7,2,15.695609,100,0.325,0.025,0.350
../gen_datasets/gen_N200000_D60_K5.txt,200000,60,10,7,3,15.695609,100,0.328,0.035,0.363
../gen_datasets/gen_N200000_D60_K5.txt,200000,60,10,7,4,15.695609,100,0.327,0.030,0.357
../gen_datasets/gen_N200000_D60_K5.txt,200000,60,10,7,5,15.695609,100,0.358,0.027,0.385
