input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N100000_D20_K5.txt,100000,20,10,3,1,0.007050,100,0.150,0.015,0.165
../gen_datasets/gen_N100000_D20_K5.txt,100000,20,10,3,2,0.007050,100,0.154,0.014,0.169
../gen_datasets/gen_N100000_D20_K5.txt,100000,20,10,3,3,0.007050,100,0.150,0.012,0.162
../gen_datasets/gen_N100000_D20_K5.txt,100000,20,10,3,4,0.007050,100,0.151,0.012,0.163
../gen_datasets/gen_N100000_D20_K5.txt,100000,20,10,3,5,0.007050,100,0.150,0.012,0.162
