input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N300000_D100_K5.txt,300000,100,5,3,1,0.000000,100,1.150,0.347,1.497
../gen_datasets/gen_N300000_D100_K5.txt,300000,100,5,3,2,0.000000,100,1.196,0.241,1.437
../gen_datasets/gen_N300000_D100_K5.txt,300000,100,5,3,3,0.000000,100,1.156,0.376,1.533
../gen_datasets/gen_N300000_D100_K5.txt,300000,100,5,3,4,0.000000,100,1.130,0.246,1.376
../gen_datasets/gen_N300000_D100_K5.txt,300000,100,5,3,5,0.000000,100,1.127,0.206,1.333
