input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N50000_D100_K5.txt,50000,100,10,1,1,0.000000,100,1.076,0.060,1.136
../gen_datasets/gen_N50000_D100_K5.txt,50000,100,10,1,2,0.000000,100,1.054,0.061,1.115
../gen_datasets/gen_N50000_D100_K5.txt,50000,100,10,1,3,0.000000,100,1.080,0.064,1.144
../gen_datasets/gen_N50000_D100_K5.txt,50000,100,10,1,4,0.000000,100,1.092,0.062,1.153
../gen_datasets/gen_N50000_D100_K5.txt,50000,100,10,1,5,0.000000,100,1.056,0.061,1.117
