input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N200000_D60_K5.txt,200000,60,3,6,1,0.000000,100,0.132,0.068,0.200
../gen_datasets/gen_N200000_D60_K5.txt,200000,60,3,6,2,0.000000,100,0.118,0.039,0.157
../gen_datasets/gen_N200000_D60_K5.txt,200000,60,3,6,3,0.000000,100,0.121,0.046,0.167
../gen_datasets/gen_N200000_D60_K5.txt,200000,60,3,6,4,0.000000,100,0.136,0.050,0.186
../gen_datasets/gen_N200000_D60_K5.txt,200000,60,3,6,5,0.000000,100,0.122,0.047,0.169
