input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N100000_D60_K5.txt,100000,60,3,3,1,0.000000,100,0.117,0.026,0.143
../gen_datasets/gen_N100000_D60_K5.txt,100000,60,3,3,2,0.000000,100,0.117,0.031,0.148
../gen_datasets/gen_N100000_D60_K5.txt,100000,60,3,3,3,0.000000,100,0.117,0.031,0.148
../gen_datasets/gen_N100000_D60_K5.txt,100000,60,3,3,4,0.000000,100,0.117,0.031,0.148
../gen_datasets/gen_N100000_D60_K5.txt,100000,60,3,3,5,0.000000,100,0.117,0.026,0.142
