input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N400000_D100_K5.txt,400000,100,10,7,1,5.826985,100,1.254,0.148,1.402
../gen_datasets/gen_N400000_D100_K5.txt,400000,100,10,7,2,5.826972,100,1.296,0.183,1.479
../gen_datasets/gen_N400000_D100_K5.txt,400000,100,10,7,3,5.826965,100,1.306,0.177,1.483
../gen_datasets/gen_N400000_D100_K5.txt,400000,100,10,7,4,5.826914,100,1.254,0.159,1.414
../gen_datasets/gen_N400000_D100_K5.txt,400000,100,10,7,5,5.826931,100,1.258,0.168,1.426
