input_file,n_points,n_dims,k,threads,repetitions,final_shift,n_iter,t_classify,t_update,t_tot
../gen_datasets/gen_N400000_D100_K5.txt,400000,100,3,2,1,0.000000,100,1.446,0.412,1.859
../gen_datasets/gen_N400000_D100_K5.txt,400000,100,3,2,2,0.000000,100,1.449,0.414,1.863
../gen_datasets/gen_N400000_D100_K5.txt,400000,100,3,2,3,0.000000,100,1.453,0.664,2.117
../gen_datasets/gen_N400000_D100_K5.txt,400000,100,3,2,4,0.000000,100,1.447,0.454,1.901
../gen_datasets/gen_N400000_D100_K5.txt,400000,100,3,2,5,0.000000,100,1.447,0.415,1.863
