input_file,n_points,n_dims,k,use_reduction,repetition,final_shift,n_iter,t_classify,t_update,t_tot,block_dim_classify,block_dim_update,grid_classify,grid_classify_optimal,grid_update,grid_update_optimal
../gen_datasets/gen_N200000_D60_K5.txt,200000,60,3,0,1,0.000000,100,0.009015,0.031927,0.040950,768,768,261,284,261,284
../gen_datasets/gen_N200000_D60_K5.txt,200000,60,3,0,2,0.000000,100,0.009074,0.031915,0.040996,768,768,261,284,261,284
../gen_datasets/gen_N200000_D60_K5.txt,200000,60,3,0,3,0.000000,100,0.009090,0.031964,0.041062,768,768,261,284,261,284
../gen_datasets/gen_N200000_D60_K5.txt,200000,60,3,0,4,0.000000,100,0.009285,0.031988,0.041281,768,768,261,284,261,284
../gen_datasets/gen_N200000_D60_K5.txt,200000,60,3,0,5,0.000000,100,0.009072,0.031955,0.041035,768,768,261,284,261,284
