input_file,n_points,n_dims,k,use_reduction,repetition,final_shift,n_iter,t_classify,t_update,t_tot,block_dim_classify,block_dim_update,grid_classify,grid_classify_optimal,grid_update,grid_update_optimal
../gen_datasets/gen_N150000_D20_K5.txt,150000,20,10,0,1,0.000506,100,0.004998,0.016857,0.021863,768,768,196,284,196,284
../gen_datasets/gen_N150000_D20_K5.txt,150000,20,10,0,2,0.000333,100,0.005285,0.017089,0.022381,768,768,196,284,196,284
../gen_datasets/gen_N150000_D20_K5.txt,150000,20,10,0,3,0.000281,100,0.005212,0.017278,0.022498,768,768,196,284,196,284
../gen_datasets/gen_N150000_D20_K5.txt,150000,20,10,0,4,0.000000,100,0.005418,0.017250,0.022676,768,768,196,284,196,284
../gen_datasets/gen_N150000_D20_K5.txt,150000,20,10,0,5,0.000201,100,0.005224,0.017197,0.022429,768,768,196,284,196,284
