input_file,n_points,n_dims,k,use_reduction,repetition,final_shift,n_iter,t_classify,t_update,t_tot,block_dim_classify,block_dim_update,grid_classify,grid_classify_optimal,grid_update,grid_update_optimal
../gen_datasets/gen_N50000_D20_K5.txt,50000,20,5,1,1,0.000000,100,0.003052,0.004246,0.007306,512,512,98,284,98,284
../gen_datasets/gen_N50000_D20_K5.txt,50000,20,5,1,2,0.000000,100,0.003165,0.004623,0.007796,512,512,98,284,98,284
../gen_datasets/gen_N50000_D20_K5.txt,50000,20,5,1,3,0.000000,100,0.003181,0.004467,0.007656,512,512,98,284,98,284
../gen_datasets/gen_N50000_D20_K5.txt,50000,20,5,1,4,0.000000,100,0.003155,0.004482,0.007645,512,512,98,284,98,284
../gen_datasets/gen_N50000_D20_K5.txt,50000,20,5,1,5,0.000000,100,0.003136,0.004500,0.007643,512,512,98,284,98,284
