input_file,n_points,n_dims,k,use_reduction,repetition,final_shift,n_iter,t_classify,t_update,t_tot,block_dim_classify,block_dim_update,grid_classify,grid_classify_optimal,grid_update,grid_update_optimal
../gen_datasets/gen_N350000_D100_K5.txt,350000,100,5,0,1,0.870390,100,0.073559,0.053623,0.127190,768,768,461,284,461,284
../gen_datasets/gen_N350000_D100_K5.txt,350000,100,5,0,2,0.870383,100,0.073072,0.052944,0.126024,768,768,461,284,461,284
../gen_datasets/gen_N350000_D100_K5.txt,350000,100,5,0,3,0.865136,100,0.073013,0.053246,0.126267,768,768,461,284,461,284
../gen_datasets/gen_N350000_D100_K5.txt,350000,100,5,0,4,0.847705,100,0.072982,0.053261,0.126251,768,768,461,284,461,284
../gen_datasets/gen_N350000_D100_K5.txt,350000,100,5,0,5,0.870299,100,0.073010,0.053146,0.126164,768,768,461,284,461,284
